pid,clientPartyUuid,clientSubunitPartyUuid,unreachablePartyUuid
13886499404,4c051d8b-3106-4d44-9308-5fd9ce31351c,ee44ddb6-151b-45a7-b544-5dd10c54c51f,24477f8b-5dd9-45a1-9aa7-27eeb5f1b2e6
06926697712,82e1d001-aac5-4f79-ba59-7a9a34884133,c2bd1410-a544-49bc-b753-4f54b2998f28,214828c1-0e94-43ae-a983-e5034fb3f35a
14896895304,25a09f33-bd1a-40e1-9194-ceb29be30f90,2f2c7ccb-5e41-44cb-8f5c-54d906b3ed8f,e43c720e-4192-47e5-8cad-b0ca45a0a941
15895897164,57b4ab80-6fc6-4080-8e1e-cb5601983343,d9261edd-399d-4919-b6f8-d78ba2301f3e,51e17635-0830-40f3-86cb-01068a20f367
17836499077,52a04814-22c3-400b-820c-d911a842da48,f4d4bd48-ac1c-4418-acb0-8d36a98dfb2b,05b0e9f8-23c3-40b1-bdb1-89b54a46710d
01849998338,700083dc-a676-4625-aa42-9f2495d96cee,18e46e54-3421-4784-a649-21c85a22f1ab,9c7b7df0-2caa-401f-8f21-17924543a860
24896097691,6822ef53-ae78-47d2-ae18-e11e20d3f734,0e805f36-5297-4576-b668-1f37b0b36e00,a3d0233d-aca1-447c-8655-696a17a3f027
02915597141,37594743-ff12-40f5-a01e-eeac9e362d9a,5635720c-e23c-4824-bb6b-e8e9af475c6f,f7c456ca-de1e-4262-a54d-76a14493a3c0
07897497063,1e99c773-6eec-4b2e-9624-5fa32f8c974c,61d5164c-3e3e-4a97-80a3-337b7f36328e,8f81fa35-3e37-4a6f-911c-094d436c4b30
12897096100,6b1ec35a-a4af-495a-9869-e1f040626bce,715b6bcb-af07-458f-a133-5f223c4bb47d,5677aa5b-d712-43bd-8717-6ab443084b54
