orgNo,partyId,orgUuid,userId,userPartyUuid,ssn,orgType
312939053,51109314,1936a51d-54d0-473c-aa89-4d6eeca64694,20203911,28ec31b9-b0d8-47ad-adee-0dfc2677f9f6,24856398710,revisor
312705672,51112474,f049053a-b14f-4cc2-9a6b-241983644f50,20778713,afcbefb6-d1ad-40a3-bce4-e3635d91a52b,03826995709,revisor
310495670,51109343,5677aa5b-d712-43bd-8717-6ab443084b54,21049881,e56acc5a-7269-46f6-99aa-9fdfc12c29c3,13886499404,revisor
313588270,51109259,0cbf4d1e-43ac-4c6e-9b6d-8fcc7868bf6c,20504866,6c01e549-c8f9-4dd8-8510-eb2582e04288,23812849735,revisor
314241118,51109365,214828c1-0e94-43ae-a983-e5034fb3f35a,20764508,ae35f167-0325-4735-9e9f-4ec9a5af783e,14896895304,regnskapsforer
314244680,51112759,e43c720e-4192-47e5-8cad-b0ca45a0a941,20622128,90ef603b-53b0-41cb-aa27-1b0b5df81d52,15895897164,regnskapsforer
314248449,51113044,51e17635-0830-40f3-86cb-01068a20f367,20855954,ba3a9168-86bb-433e-9f36-ed2b464e52d5,17836499077,regnskapsforer
314265939,51145378,387b7eb1-7e73-4a8b-b4f8-bd9fb488ca75,21022011,df3a2b18-e2d2-4fee-9124-caeefeb2bd08,13845994514,forretningsforer
314305582,51117443,fe97923d-bac5-448c-a5f8-6f699b9b4dc4,20917993,c81da6f1-0142-46a8-a73b-bfa062a02db8,05814899731,forretningsforer
310343439,51110282,33388bce-8fb3-4f0d-bc40-d8c502a445f7,20157497,1e88438f-4ef8-4aaa-8e1e-0141529bbb9e,27849297746,forretningsforer
