pid,partyUuid,partyId,userId,lastName,name
58913700315,fcf2a00e-209a-438a-ae25-8ae1325dbbb4,51303569,2574166,DUBLETT,OPPBLÅST DUBLETT
24829174665,dde7c462-2542-4630-a485-432bd2846f6a,50364572,2436824,JEANS,VENSTRE JEANS
60858801322,235287c0-6a1d-494c-bf67-535f845df516,50504514,1612598,SAMBOER,EMPIRISK SAMBOER
21821498047,63fc39c5-f9f4-4b7e-9137-a0e01ebb3e2a,51081914,1897677,SVALE,TØRR SVALE
15862049745,879e493d-bca9-4191-bc74-af66304c4b62,50821172,2055927,KOMMUNE,KLAM KOMMUNE
12919599136,e799f4c0-e153-4c7b-9748-63135b3f01b3,50661347,2479664,LOGARITME,SVIMMEL LOGARITME
17896599976,63c1d7d8-93c2-4063-abef-3758e1e38c09,51430012,1896674,SØNNAVIND,MORSK SØNNAVIND
17818999976,479bfba5-64c5-49d7-b5f3-a4c23db98320,50347154,149599,BAKHJULSDRIFT,MINIMALISTISK BAKHJULSDRIFT
08879498296,8517c180-fc88-4e31-9475-227a61fabf1b,50971521,2044793,HANDEL,UNDERLIG HANDEL
13887296949,e744f0da-3c73-49d8-a921-6316403c21ee,50576915,2478141,FIRMA,SKAMFULL FIRMA
11878374640,0b632a55-88e6-4e2a-b2ce-e726403097e0,50402375,1507132,PAPPA,UROMANTISK PAPPA
17928595919,59d3c8a6-2185-4c09-8fca-2c73c4c8f98d,53167158,1852711,KAKE,BARMHJERTIG KAKE
30862549291,5af14b66-c831-4197-8df4-02daefd3b377,50860118,1857762,NETTHINNE,IMPULSIV NETTHINNE
06862849599,390bb50a-1076-4665-bf83-ddd1950fc38d,50645325,1708457,GJENSTAND,SMART GJENSTAND
16846998229,26f03422-d44e-46be-83f0-d70718304ca1,50964103,1628684,TREGRENSE,FIKTIV TREGRENSE
30926996475,c0320cd9-ba56-43ae-8a4e-106dbca92cfb,51071292,2305921,PAPPA,SLAPP PAPPA
17905399853,85dfc083-338b-4ba4-8702-daefc0f3201a,50865441,2048271,ARTIKKEL,SØT ARTIKKEL
06918498107,bd7d6e68-bb25-4214-9f65-8fd1cf5efe93,51052943,2293998,ANSIKTSKREM,OPPLAGT ANSIKTSKREM
01870198740,e2f1c8d4-ce1c-493d-936c-852325f81cea,51089990,339276,KRYDDER,NYSGJERRIG KRYDDER
16865298416,7f36007f-f113-40fa-8594-5d1675500894,51216132,2018742,KVINNE,NYBAKT KVINNE
