pid,partyUuid,partyId,userId,lastName,name
58913700315,f8c5382b-4f7b-4d90-8e20-ecbffb36477e,51053389,21188140,DUBLETT,OPPBLÅST DUBLETT
24829174665,c15971bc-9fdd-443d-b82f-d0ab794a5e6e,50407944,20926579,JEANS,VENSTRE JEANS
60858801322,fa0617ed-6a70-452d-9d46-d71d16e5c14c,50548953,21194049,SAMBOER,EMPIRISK SAMBOER
21821498047,fae457ba-a783-4460-8ff0-0d21496a7675,50183195,21198022,SVALE,TØRR SVALE
15862049745,feb0ed33-003c-4659-8845-65f7562c600a,50738314,21215921,KOMMUNE,KLAM KOMMUNE
12919599136,b69839c3-7257-411a-b96c-c5e6e26933bc,50148176,20875766,LOGARITME,SVIMMEL LOGARITME
17896599976,ee4698a4-860c-4ef7-ab42-6c7ee99de39e,51182033,21138837,SØNNAVIND,MORSK SØNNAVIND
17818999976,527a5d3c-f76b-4d33-a7e9-8b1118dd50b3,50322051,20403003,BAKHJULSDRIFT,MINIMALISTISK BAKHJULSDRIFT
08879498296,07e0411e-bfdb-4114-a76c-f7d26a818985,50818334,20050787,HANDEL,UNDERLIG HANDEL
13887296949,8774e3c9-bf91-49e3-9860-700aaca0c281,50605682,20653065,FIRMA,SKAMFULL FIRMA
11878374640,208a5fd3-b8cd-4665-a654-29f7459dab9b,50446114,20166810,PAPPA,UROMANTISK PAPPA
17928595919,82acd65c-5e3b-4260-8d19-593d83d63a28,51830460,20630396,KAKE,BARMHJERTIG KAKE
30862549291,5ab6bbc6-d35a-4dcb-8c78-c170cf508789,50759325,20441917,NETTHINNE,IMPULSIV NETTHINNE
06862849599,7e163d05-ee76-4293-8978-a111bb31c610,50643866,20608694,GJENSTAND,SMART GJENSTAND
16846998229,96cfefa3-b3b7-48a1-b778-5904f8ceed09,50814576,20725254,TREGRENSE,FIKTIV TREGRENSE
30926996475,2c4678bf-6968-4e8f-9110-d0c6666da56c,50172972,20222524,PAPPA,SLAPP PAPPA
17905399853,4f6beb81-d8c6-4c88-b92f-8ff65f80e5be,50265108,20388306,ARTIKKEL,SØT ARTIKKEL
06918498107,5bce23a2-8519-42d2-8ecf-92b939a50728,50860228,20447002,ANSIKTSKREM,OPPLAGT ANSIKTSKREM
01870198740,b6d60719-0db3-4433-93c4-5e951f9fd3ae,50879615,20876880,KRYDDER,NYSGJERRIG KRYDDER
16865298416,e0c0aec5-10a6-4f44-a6d4-5ae22c9225ef,50965123,21075320,KVINNE,NYBAKT KVINNE
