pid,partyUuid,partyId,userId,orgUuid,orgNo,orgPartyId,orgName,clientUuid,agentUuid,roleCode,resource
14847399148,b713ed1a-53b9-4a8c-86fd-6d5848db548a,50761534,20842034,40723f53-8e7e-4abd-842f-305fa9259adf,312839458,51466054,AKSEPTABEL BERIKENDE TIGER AS,,,,med-tilgangspakke-sjofart
04818299880,5afc3b51-2dcb-438d-b744-5a9ca09971c7,50394378,20428164,d2b0f4b9-655d-4ac5-87ea-76edfd842812,310072850,51191858,LENGRE LEDENDE TIGER AS,,,,med-tilgangspakke-sjofart
11837194727,0eac2a2f-2988-4d8e-a96a-b0e0733739b0,50573018,20086357,8d7cd794-e8cb-4f11-b969-82279e3cd9eb,313958817,51308425,FINTFØLENDE SNAKKESALIG TIGER AS,,,,med-tilgangspakke-sjofart
17867197192,e20fdd08-a35f-49d0-8c04-abdec98f6ef4,50413282,21034703,d07b94e9-f5af-45b9-abc2-0a9b7b61bf0d,314154754,51323754,UNDERFUNDIG STOR KATT MÅLSETTING,,,,med-tilgangspakke-sjofart
01884199375,9ee6330d-b278-4815-8608-06b7d96d0ad3,50197584,20733305,b7558f75-9c43-46ab-84e9-9a62c6971acb,212597392,51143058,MOTVILLIG KUNST KATT DOKTOR,,,,med-tilgangspakke-sjofart
24815699307,b30efca9-c20c-48ca-851d-532b007a400a,50702038,20809234,ad969d4e-67da-4c17-834b-15858d4d1a6c,312440644,51438039,SANNSYNLIG HÅNDLAGET TIGER AS,,,,med-tilgangspakke-sjofart
13867396122,3ffb53d0-9997-4ff4-9fcf-bc6d44cf75c1,50181052,20307277,4d3a1436-18f9-471a-b193-54214a033769,312460688,51159991,KONKURRANSEDYKTIG MARITIM KATT PAPEGØYE,,,,med-tilgangspakke-sjofart
31905797177,86716d6a-2633-4508-8a09-27250caa3457,50430470,20625285,c2a170ee-442a-4015-b2ec-3e621fd283a4,312672359,51454331,SPENNENDE EMPIRISK TIGER AS,,,,med-tilgangspakke-sjofart
13909598553,bce6f196-fc81-47a2-88bf-a28145b0d2da,50572482,20867884,1adfe3a8-1f33-484c-bfe1-45555758620f,312749769,51459764,NY GRETTEN TIGER AS,,,,med-tilgangspakke-sjofart
02865097592,48d989e5-7aee-407c-9cd5-1c1a4ff90046,50174805,20346709,e1af9d20-f493-419e-963e-ae08c97e8c60,310630799,51241917,SMISKENDE HEVNGJERRIG MINK ANS,,,,med-tilgangspakke-sjofart
07846998882,43c5812d-85cc-4c8e-b8da-a5e7554f5c32,50657868,20324230,e2d9e5cd-af01-49ad-bdf8-91ee0c892d19,310184802,51201997,EKSAKT ORIGINAL TIGER AS,,,,med-tilgangspakke-sjofart
30835099144,70fc78bb-8049-4a31-8207-dec4f33561ff,50701330,20527322,a682a1e6-5fe5-42d3-90b4-1dc36edfb6c5,313043908,51480449,GLOVARM VÅKEN KATT FERIE,,,,med-tilgangspakke-sjofart
14919398893,474bb639-48bd-41fd-aa91-5422c1fa47e2,50829944,20339873,8a376b57-8796-4b5a-8d3f-5c47f001e7f5,312290154,51421097,PÅPASSELIG MOMENTAN TIGER AS,,,,med-tilgangspakke-sjofart
14873349353,b43872b5-820b-4b06-a521-24d04c7de5c8,50783755,20819636,0d70beeb-b991-4755-b6cb-50cb0a1c5467,312928531,51472308,POMPØS OPPRETTHOLDENDE KATT SPESIALIST,,,,med-tilgangspakke-sjofart
18915297346,52c8c635-d56c-4b53-85d3-463ad5406519,50516324,20391302,b3e67d8e-bf91-4e80-a050-dc35a49ef4f1,314140990,51556837,ELEGANT USANNFERDIG TIGER AS,,,,med-tilgangspakke-sjofart
12925397928,19715467-b5b4-420a-9ba0-0c67b3a8c0cf,50765642,20134569,595ccc10-7bc9-4266-83b6-b3545267f4fc,311155814,51288553,SPESIFIKK AKSELERERENDE TIGER AS,,,,med-tilgangspakke-sjofart
31817197321,fcf7775c-5c21-47d5-a088-2068be2d2830,50554451,21155290,2737ffc4-ec71-428a-ac6e-0aef71e6fae1,310806358,51257495,USIKKER NORMAL SKILPADDE A/L,,,,med-tilgangspakke-sjofart
04867199387,c0a22bc0-0d65-46ae-b325-b0b196651b02,50656931,20884365,e41066e8-dd5c-4e29-8074-9dddb5c5f09c,310755109,51252946,OMKOMMEN SORGLØS TIGER AS,,,,med-tilgangspakke-sjofart
14837196230,bdf804b4-86c9-4a89-a6c8-2fb68fa173a8,50841818,20872637,c405abea-619a-4c4d-bd5a-a1d9158c6950,311754920,51364274,TILFELDIG ØKOLOGISK TIGER AS,,,,med-tilgangspakke-sjofart
17875198505,eaa35f4b-2c87-41fa-b120-391d58ee463b,50741375,21073254,2ecd6984-ca9a-4b57-bdb2-68952afd700c,210244042,51112415,FANTASILØS VAKKER TIGER AS,,,,med-tilgangspakke-sjofart
