ssn,partyUuid
21837599668,3093716f-9711-4207-b3f8-75b64cb15a0d
15830949515,ced4824f-8e34-40a8-8967-93407aee2906
06865197479,dbc8152c-c278-4d58-b6d4-7618b54ffdca
06880597734,cdf340b1-8bc2-44ad-910f-236cf40c2161
26857797301,e878da9d-0061-4fad-8089-f25f833c1679
28926597398,af1ae0c9-1ec5-4ca6-8085-fa1562f76b7b
06929197117,cedcad96-ddf6-4455-b27c-d5df8e267993
08900749326,318750f1-2952-4b62-bbd9-793584c2c956
18883149358,6d215212-ba0c-401d-9936-7b49bdda1526
01888498628,5eb6ebb5-75b2-4fd3-ab26-a85f074e1e43
31856898930,167809f9-504c-4fbb-8ac4-cf5ff5ce4b66
28924299047,750d3e81-afe8-40b3-996e-a25e8287e868
02899497549,3d7e3a9f-a619-4491-865e-65409c4b078c
09825698032,d7d42d62-8145-47f0-a1d9-a61d7f277364
18840099578,4d7c38e6-1f74-4b5d-ae60-de65050f5c63
30903949887,3b64f450-736a-43c0-b0af-b582c366b2aa
26845397472,d2c95170-295f-4f4f-8c36-30a2a297337d
29885296716,38365e12-a199-4a4d-8e46-7f9ef3ae319c
29925396301,4f92b1f1-0875-4ce4-aa1b-210097d932d6
24875097098,f9d12ab6-50f8-4b12-86e8-2c1fb130c43e
18839199380,363ac974-6ee3-4b13-9353-4c4fc039b3ee
05836595612,be1daeca-c3fe-4491-9600-b152f3668542
25864099443,717089f4-3ecf-44c2-8f8f-583e954e628b
03858599511,4f5b2751-8826-47c2-a6e8-de7631354d89
26846799728,c3488b4b-520c-4de0-9960-1b0f8a36fb71
02844597498,2c75900f-ebba-4ae6-8e5c-ec7df5bd0887
19880249595,e5855997-fa46-4268-9f2d-124f1fa8fb13
03899897985,c2558b86-f0cf-4b1a-a018-f82a8de31c1e
22927195236,3f218631-df8e-418f-9344-16af61538f5d
12918495841,16b8116c-89dc-4a6d-8aec-f976016e0477
10907195045,c1bcc594-9c98-4d7f-8061-f77e03564bec
25821749401,2206062d-16b1-427e-9249-bc27e7b38545
21879897626,299d6457-d053-420a-ab5b-a34503a7115e
12823849158,4d369e73-85db-498d-a2a1-445c68eaccb3
08885595570,61a50b57-bfcc-40b9-aeca-72a640bf2e59
17816097274,6d54c597-65db-4bd6-9785-c482b8d3ad11
01901748698,1510c560-68bf-41ba-8411-795a72bfe6f1
23914298016,3a5f2be6-0a2c-48e0-9102-d0aa8af0070c
13887496395,b458e7b3-42ee-4384-8bf3-f080574e27bd
25830448546,f169b3ea-9a1e-4a28-b3cc-546c18ecd642
03829398310,4a25faf3-fe04-4868-aab0-77be39f470df
25823846412,b4d7f4f1-620c-42d6-bb2d-49aea4fb3dd0
03853148376,9c85a091-0096-432d-a06c-c1711e792b72
02889798648,0cdc9b5e-026b-4581-9cce-4a3d2714bd2c
24886198325,858002f9-137b-4110-850a-839169a5aba1
03874698201,27ed6b2f-79e7-457c-aaaa-52494326d87a
06833249108,8e8a439e-35da-42b9-90d6-197fd4ad7f1e
20845398675,372992b8-691f-49f9-8546-ae964295471a
27867897432,489bbbcd-959a-437a-9eca-e0ffe97c8eea
27879898949,adf1dfef-d26e-4ec6-9866-9795c186ec0e
09927697596,7deafe47-c328-4312-84b6-3c2c0ca68b51
15830349771,e2226547-b52a-42e9-a4e5-2a4992c85b37
02909899985,502a8320-0040-4389-8c94-4ddc5d06a800
25821249417,644411c7-c280-49a7-bf55-f705a95546fe
27896197962,c8f355ee-115d-49b0-b3be-7fb1c902ebab
08885398686,60d2d7dc-fb4c-41fd-8b5b-fdca1357bce1
15897199014,e11757d5-9e45-4c86-aa78-c4aa5b4cdaaa
09849497704,c27b17ed-1169-4cc4-a76b-b4dc53aa913c
30901749708,45ca995c-13b2-4003-9154-fcac5f666f0a
12869097576,dedeae43-85f7-468a-a414-89ab73c5c7b5
13905797950,d1c1ce1e-868e-408e-9212-a9135ea47168
23922149666,5bcdc6ea-440c-43bf-8e1f-07ef4c8037b4
