pid,partyUuid,orgUuid,orgNo,lastName
03874998779,a3266d03-3599-45b2-9c07-e777c423e0f8,a477a841-3465-4010-bc0b-a906d3a1cee5,313490114,HANDELSMANN
20855496756,64c8302c-0dac-4ed2-9374-8837d83e4a3e,40425e00-5ff9-44fa-8de2-6cb687df110d,313071103,BÆR
06859697729,b1da825e-8cb1-4aaa-9a02-8f45c6c8b8b5,725db30c-b8b8-4cf2-b11d-2b396240205f,313594343,MERR
05907397183,795a0b79-91ea-475a-9059-67113b7da43d,bd4833a7-9933-45c9-8bab-a7d3227ad658,314061276,TALLTEGN
23917996954,af84fd5c-0aad-49c2-a4ed-315fb6e5ecc4,a79abc86-bbac-434b-82d8-e84e6c06cc1c,313269744,MATTE
31887396429,9f711a81-6ee3-47ec-b7f8-cb80348ce9cc,71df2c93-187e-4c5f-ab56-9d6d1cfb0821,314009606,DESSERT
06815597735,d2801b4d-d6c7-46f7-8343-1bedd8810276,b974addd-7a32-459f-b34c-793226bb1655,210143572,TRANE
30898497727,adf66975-724f-4637-a5d3-9b7b37e08217,8351e28c-803e-4171-93c0-0b4c9ba07766,310091812,SVOGER
22822749937,8c3d79d5-d43e-424e-b231-1b376652149f,a2f16b77-98b1-42c2-a154-c7404bb0e9e1,313014614,KORG
20836398956,b693bf5d-e87f-494e-a8d1-50f37c139c1f,a87de050-3c78-40e3-9320-436a273839fc,314254619,KANT
