orgNo,partyId,orgUuid,orgType,role,userId,userPartyUuid,userPid
313490114,62558531,89e1696a-5eb7-4930-a558-93590dd689ba,AS,dagligleder,4549835,e83381e6-957e-439f-89b7-d255f5539549,03874998779
310678961,62024191,37efa282-5874-4dba-970f-f497cbec729a,AS,dagligleder,4538215,bfecd3fa-0825-46ac-8a13-ae0cecc52e04,20866198560
213842412,61806105,31f19469-91cc-40ae-b46b-dd9b061a06dd,AS,dagligleder,4565564,86c81cf9-72b3-432e-9f38-57882263ba06,16836697573
313491013,62154057,cd697e92-ab77-47dd-b706-70dafb7a2a3c,AS,dagligleder,4519564,6299216d-e8e7-4169-a607-4991f300d5ec,06886799584
213178512,61787120,7aa4be0e-b55c-4978-a755-1c6ada56317b,AS,dagligleder,4560056,805dfe13-30d7-4479-959d-5536b352ecba,07848997379
311008358,62105392,ff4b511f-eef9-4aac-a4c8-141e949783cc,AS,dagligleder,4569421,b92b1b55-8fb5-423a-baa5-0de9121abe3d,22817497180
310200093,61899484,834dd100-8d08-4877-93d2-4c56e4470886,AS,dagligleder,5923581,4ab57af3-f815-4d3b-9bf2-074eefe049fa,20894199378
312800012,62420068,fc2e0e90-9604-4cfd-abd1-e2256a85d45f,AS,dagligleder,8228063,ca6e1607-9783-478a-8351-ec3c151bfe1a,16888774266
311051148,62115993,66367850-efa3-413e-8513-0d2f9ede519f,AS,dagligleder,4505689,6d98bd55-4dd1-4ea6-b059-cb76b11e4ffa,06876599390
312668181,62159925,db4ac180-cd9b-4720-a3b1-0979642fb5f3,AS,dagligleder,4551310,b89e01fb-9fcd-4442-8be3-1bfdb5b41970,14927796385
310735388,62038255,1445a191-e810-49b2-aeac-f5ca6bfc41e5,AS,dagligleder,8854257,ed0342e9-fc83-4cac-94d9-81d51b8f90a8,17847798335
312795078,62419122,5c11e14b-fa59-4ae0-b9ab-8a7943f7a9fd,AS,dagligleder,5703733,3e89a87d-5647-4a6d-b9b3-85dff8634d1e,31900199999
311185934,62148375,38fa0afe-723b-40ee-8744-ca6d339399d2,AS,dagligleder,4552719,6864bf9e-954a-4d76-b072-3b51e5dc537a,29887097796
313185079,62497988,ed19d090-1f71-424e-9b11-2e9ae106ce90,AS,dagligleder,4567694,0de2643f-110d-426b-94ed-3611b87b1466,16877198794
314194861,62692820,ae90372a-8e01-4a64-95e8-aa1fd1ca53c6,AS,dagligleder,5390858,2d47cb88-137a-4cab-bd09-89ef490bde06,19867594925
312993163,62459309,b7647fc7-d86d-48c8-b78e-77fe29796be7,AS,dagligleder,4563376,9fa5acb2-a461-4e1a-8bc3-616c2d8d8731,06842647728
314036484,62274715,a32021f1-ce8d-4532-93ae-85635be1e1cb,AS,dagligleder,4504569,5ae1eefd-470c-4774-874d-96fa07c12ca6,14899499760
312435276,62191816,488d5a8e-4781-45ec-97ac-99eb31851fa8,AS,dagligleder,5308832,28c1ef33-d08c-46e4-ac85-3e9a182f7b7e,14896397592
310999776,62103300,5c991bc6-ceb4-4ca0-a67e-5eafca48987e,AS,dagligleder,4544938,0d0e94b0-c264-4cb6-879a-737edbd9a9e0,27908898090
311178652,62146659,756dc6c3-20c8-4769-8809-b1481a5399f3,AS,dagligleder,5526920,34bdd73c-419f-498c-896a-e9d0bf005070,05856996540
313345416,62530040,a2f1f22b-c03c-478a-9f7c-67f131ffeec5,ENK,innehaver,7990636,bd48e979-a9e9-44fe-9cc4-8df3929be0da,24867296626
313490475,62558616,7da84495-b6d0-4877-861a-aa7f300bdc09,ENK,innehaver,4696312,06f24520-53b8-47ff-bd26-b34ff579d55a,18849899569
312660091,62390793,3b68bc4e-1ac4-497c-9113-c624e212340e,ENK,innehaver,5299869,2843694f-4961-44ce-9a53-4aef567cd7b5,16846799676
314153421,62685243,f7d1ab15-fcf6-4761-b374-9427e7b4a130,ENK,innehaver,5909982,49f45e78-3d72-4949-abb1-cb328038697e,25919497001
213764292,61803883,b41328b7-ef95-42b6-96bd-bbf7c130579d,ENK,innehaver,5520244,34600bfd-a3f5-4ce1-9e23-98a6122e35c0,23855099756
313219682,62504992,ef2e0408-b215-4994-a6ab-01bb53eb456b,ENK,innehaver,6007281,4f584d2e-415a-4c8c-93c4-20d816cb3670,30887297858
310191841,61897229,235fb1cd-f21a-46b8-968f-323d2636cf35,ENK,innehaver,8343552,d0d08e4d-5e04-4086-b4df-cb3cb32ebed8,21847796380
313179060,61746798,68df711d-712e-4763-8d7b-ba8292b4393f,ENK,innehaver,7703004,ad6714b4-72a3-4e0c-84fe-6e8df0d4fed7,20909199418
312638940,62386506,40556c4a-13b3-4ca0-bfaf-d9640a2f587c,ENK,innehaver,8104563,c391c4a7-d002-4f10-9f18-d6952aabaed1,19887299768
312549611,62367554,02875641-4d17-4256-840b-8ba61391fa28,ENK,innehaver,5248660,2570c4b6-4a1f-40b9-aeec-b55be1928344,25829099171
310617776,62008629,9cd761e5-a0f9-4879-a1b3-1f2aaf6b2a35,ENK,innehaver,7822803,b3fe0f0b-201b-4288-902c-99b4cbf190c4,27877298553
312157829,62292058,754810a5-2782-4f6f-a9f9-f6444511f0d9,ENK,innehaver,9105334,fad366c3-1af1-4b48-964c-303a2a69df17,15818997806
210306552,61713190,22ca35fb-711d-4032-bb62-899bee739b98,ENK,innehaver,7229627,931c4217-12af-4414-8623-6abc10294f25,30868998292
313780651,62260229,429de124-92f2-4227-8e85-51ea037c5ab5,ENK,innehaver,4511680,3bb2a8f2-e8ee-4921-99bd-9970968630b7,02887096735
312496372,62199798,50b5430d-6c0f-442a-a0c2-814e2f1b8ed7,ENK,innehaver,5064618,1b44ccaa-da72-4b4d-94ba-dd19fa824c4d,14849297334
310179248,61893807,00584048-e0d2-481f-a6ee-b647b9d03d5c,ENK,innehaver,8029803,bf71d63a-2e54-4760-b24f-bb54944f022a,24866098596
210687602,61725190,b7530130-5a73-4dc6-a5e3-f96989446fa6,ENK,innehaver,5132123,1f0191fa-6a87-485c-956a-ced755b5c903,06926498817
312442205,62262706,5e04f866-cf2f-48c4-8433-8b86922f016d,ENK,innehaver,8853167,ecf3aae7-c4c6-4290-981b-38655580d1b9,22817797052
313515745,62563538,10346261-32ab-41bc-9e7a-cac9afa0ce82,ENK,innehaver,5815967,44c1f1b6-e506-4009-a2a2-b25dfc996608,26927299991
310191280,61897082,975e5c10-d0bb-478c-80ac-ba980a600111,ENK,innehaver,6279873,5e7a36f6-4c87-47df-af63-5ab987d4d81a,12877197792
