ssn,partyUuid,userId,orgUuid,orgNo,lastName,userPartyId,partyId
12916997971,db98fc89-ea93-49b2-b04f-d569c650c302,2426607,521765ec-6291-4aa8-87af-e210409ad53f,310915092,TALLERKEN,50756897,51605645
17878097785,6e06cc53-6566-494f-931f-5645084520a2,1942067,7630cd18-1651-459e-92ba-63c61faefa4a,313155366,FASTMERKE,50780479,51826082
14865899751,c5a2e9a9-e860-4c4d-8983-6687d2ca0153,1272860,3a65e9fc-2be2-4a67-b70e-ef6e6eaecb7e,212616532,PAKT,51211251,51482448
24925199512,a05ba89f-813e-4af7-86f5-2685434fa13f,2165227,a0a94a01-b265-428f-a549-bea419c33fbd,310895075,FAKKEL,51425330,51603869
04879297333,6d6f5e06-9eeb-4f2f-b181-6937470002f0,1439129,a016c53a-5ab0-400a-85a9-0904a5ad19bf,313704831,BOKFINK,50352474,51733444
09915897581,0a574854-0d49-4aa2-a260-571778154ca0,1502431,4fc9edfc-f36b-4345-b2e3-3c7ae8133f9c,314168003,SKATOLL,50587050,51707083
09917197935,c6df65d3-5748-4d44-9eb6-ac82a039e8d7,161263,bb4dcc72-cad2-4359-80f7-194e8fe595b2,314026926,JAKTTERRENG,50963411,51684307
01837798007,d7da9378-cac1-4839-b671-914ff3df0803,2410222,869e0cae-b67a-44d0-b936-62f2b143c2cb,313477029,SATELLITT,50542995,51848309
06813648146,79c1cd6e-c8e7-4941-ae05-0828e144e311,1994453,4d63f2de-d048-4adf-9ea0-287680659fc7,213082302,BYREGION,50697421,51486944
11866497364,cc069484-23ea-4752-bfce-7319001ef79f,2357934,5421a1e8-2794-4a16-83f1-a26131ae926d,313775070,NAUT,50701837,51868883
