pid,firmPartyUuid,clientPartyUuid,keyRoleOnlyPartyUuid,directDelegatorPartyUuid,directDelegatorPackage
13886499404,806e41fb-c429-490f-880d-bb0b92bb7bd9,d2d6409a-498a-41d4-a40c-f3698aff52de,af89f4f7-b1e8-4c42-bc82-3a8358efcdf3,da7055c6-174f-432d-9b32-35c5f66c742c,a-ordning
13877196857,dfb86ee2-6a96-44f5-b73e-29f8e037dcea,a866dfbe-a71a-4de9-8c88-860aa3040209,63784baa-9104-45b0-900d-639db2a71c98,3c1950cb-e2c3-4a8e-ac13-28c49630ce8d,innbygger-arbeidsliv
14896895304,619b6537-08ab-40b1-a844-4041fef740ea,9553219b-cecd-4736-9149-423ba583804c,1da65cee-0e59-46cf-a532-0d813889fe29,13abaa5e-da95-4633-9695-e86668a7fb6b,a-ordning
17836499077,d12ed266-9bca-473c-9a79-33694ab55f24,91e16da9-b913-4eb4-a1d5-ddb7441eb369,dc2f28b0-9556-4ed4-b9f7-5dc1563dc38d,7912d5c4-0ff2-47d5-804f-5ed5deefcc48,a-ordning
01849998338,132651da-9e6d-4242-8d75-a5229f29755d,b45a742b-d89e-4062-a5fc-19091a9c10c2,7c7ff35c-c7dd-4c41-b715-3753487816de,decfa421-dc8a-4970-b335-b417ea91f1b8,a-ordning
24896097691,309cc9ad-71d3-450d-ada8-e1f1be6fcadf,aa1d06c4-0a4b-49ca-8010-225387cf607b,2717a205-dcca-4850-9bb8-7100e4f69f05,a534b2ab-8767-4747-bcef-b84b8ef04358,innbygger-arbeidsliv
02915597141,240832f6-8564-4b8e-ae5a-eef19566698a,84d585e8-d9b9-40f4-aafa-7f365c277ca5,41c1c023-12ba-4937-a3bb-b2a91e8325c5,84d585e8-d9b9-40f4-aafa-7f365c277ca5,a-ordning
07846595419,770ac064-6dfd-4981-8f93-53d79037af62,fb2add69-46af-4d96-9dbd-e11a01d289a6,1272f08a-fe14-4d54-a888-bb35b2e006e2,1dd2eb9c-eb05-4fbd-8466-a617d446389c,innbygger-arbeidsliv
12897096100,9966921c-cbfc-42f9-a7b6-6cb78fed1219,0a8c9602-771f-40a8-8723-d8c0524420b8,33393543-95bd-4acd-9d88-84f2ebb39a19,2ae79939-5e68-4e8d-a0bc-44dd65cb0970,innbygger-arbeidsliv
20827096769,648b320e-1124-4b57-986d-a30c5bae7976,a65218ef-6bd1-4e11-84c4-d1b34d59d03b,c151cf10-d5b9-4f99-a02e-b7ef29d1c045,ea598e07-2252-4d3c-bae0-06a54c691d85,a-ordning
