pid,firmPartyUuid,clientPartyUuid,keyRoleOnlyPartyUuid,directDelegatorPartyUuid,directDelegatorPackage
13886499404,5677aa5b-d712-43bd-8717-6ab443084b54,4c051d8b-3106-4d44-9308-5fd9ce31351c,c33b4b2c-e7f0-4135-891a-785470a486c1,4c051d8b-3106-4d44-9308-5fd9ce31351c,a-ordning
06926697712,24477f8b-5dd9-45a1-9aa7-27eeb5f1b2e6,82e1d001-aac5-4f79-ba59-7a9a34884133,24b62723-a0f4-4853-b36b-c8d73e837815,ef2d6851-35a7-4650-98ce-2793ac1f1813,a-ordning
14896895304,214828c1-0e94-43ae-a983-e5034fb3f35a,25a09f33-bd1a-40e1-9194-ceb29be30f90,525327cb-8273-4e39-9bc0-b1134f06f434,ae35f167-0325-4735-9e9f-4ec9a5af783e,innbygger-arbeidsliv
15895897164,e43c720e-4192-47e5-8cad-b0ca45a0a941,57b4ab80-6fc6-4080-8e1e-cb5601983343,ba002e46-4550-4407-8ed8-d67085fffeff,d66c48b7-4e4f-46a0-93a1-a3c97d16653e,forretningsforer-eiendom
17836499077,51e17635-0830-40f3-86cb-01068a20f367,52a04814-22c3-400b-820c-d911a842da48,f62480c8-dda8-44c8-971e-596a5c231540,bb1dd5e8-d918-45c4-b86a-146b1ac501af,a-ordning
01849998338,05b0e9f8-23c3-40b1-bdb1-89b54a46710d,700083dc-a676-4625-aa42-9f2495d96cee,c9fe6f63-3545-4edc-909f-07cfc42317b4,409618e4-7ba3-4ab7-9426-a9b3a3b06ec9,innbygger-arbeidsliv
24896097691,9c7b7df0-2caa-401f-8f21-17924543a860,6822ef53-ae78-47d2-ae18-e11e20d3f734,27e8d821-21eb-4eb4-9a50-24f15ba113d3,4bf2ed50-4dc2-4863-bada-9876b153cc72,innbygger-arbeidsliv
02915597141,a3d0233d-aca1-447c-8655-696a17a3f027,37594743-ff12-40f5-a01e-eeac9e362d9a,ba329918-db18-46b7-8f28-a063a0e1ffc3,37594743-ff12-40f5-a01e-eeac9e362d9a,a-ordning
07897497063,f7c456ca-de1e-4262-a54d-76a14493a3c0,1e99c773-6eec-4b2e-9624-5fa32f8c974c,22f449b2-44f5-4614-b283-e738548ca3cf,494f929b-4f7f-427f-a563-1b7cba96a62b,innbygger-arbeidsliv
12897096100,8f81fa35-3e37-4a6f-911c-094d436c4b30,6b1ec35a-a4af-495a-9869-e1f040626bce,0dcf5d21-ade1-450d-acc7-8ef5712aab7a,5d023f86-063b-4114-b42d-465b9dbd7d7e,innbygger-arbeidsliv
