pid,firmPartyUuid,clientPartyUuid,keyRoleOnlyPartyUuid,directDelegatorPartyUuid,directDelegatorPackage
13886499404,436f789a-a10b-4640-8331-89201a67d532,f1aba403-ec3e-41a5-a7a9-c78bf452e1d3,c4ebe025-75d6-4673-bf2e-8e1e968f835c,f1aba403-ec3e-41a5-a7a9-c78bf452e1d3,a-ordning
06926697712,114ffd69-9048-4740-800a-522efb105262,f26c8a75-63d1-481e-bea6-a58ce5cb2328,a932c08c-c7d8-4f12-b3c5-d4fd4f3b7155,b270193b-0f1e-4df5-ab0e-d0a74441dc11,a-ordning
14896895304,265996d7-34e1-40d8-a304-ca11bd9c4124,6bb54f2b-4554-4d8e-945d-03960ab5f317,5f535109-7e87-4564-9c28-6033f782c798,90b84c43-d69e-4925-a014-5084761fb824,a-ordning
15895897164,034cc7e8-bb67-40f5-a094-1d971547331b,d2d46668-6105-42f6-8c07-1c2df3daf702,e9120c01-5570-486a-9c4f-e9153108e757,af390c84-d71b-41e0-9ffb-3d542d6981a9,forretningsforer-eiendom
17836499077,271a26e8-f5b0-491b-ab91-f6d6ddcb25c5,8bad5390-245b-4ad3-9a71-f265f9dbe3ce,53e6332b-400a-45cd-b402-230c147de15d,ca4652c4-2b29-4e79-939a-0edb0c9b63f6,a-ordning
01849998338,35681d19-66b9-4223-b5eb-63ad1e8c0c20,67d951ee-e09a-46dc-97f6-39638779837e,1e897217-8b08-41ca-9e9d-a3b3f76335dc,66decf3a-55bd-492d-ae57-54cc79f1b33f,a-ordning
24896097691,f79a18dd-57db-47df-a45b-4b11ef0abcc0,364f91ce-a414-40a3-863f-7d0b8f56cab7,6f5c957f-600a-449e-8346-5a039a234bec,1191808e-686d-45df-8525-c34aac191916,innbygger-arbeidsliv
02915597141,48e28731-bab8-4806-ac36-07a42a7b10dc,d875423e-d7ef-4dba-8d6d-54bcb7e8fb00,9e2653de-09c5-4220-a917-8fd82e9c31f7,0282f62d-7082-48f5-8882-db0b1e40f87e,a-ordning
07897497063,0090e81c-d88c-4ce5-adc4-89791d229b70,e88cef58-6b56-4bb8-b81a-149fd7e2f511,582fd907-e702-47c6-875c-071c2ff522a1,a27393e8-8351-4e33-8d9b-ffca67133864,innbygger-arbeidsliv
12897096100,48babff7-ad63-446d-ba19-7ebc10e29ae0,89b193b6-c477-49a8-baf3-4e8c96f489bc,531677dd-2e2e-4115-a841-6ab34bdfde3b,1367ab69-764e-454a-a085-27150c0c09f5,innbygger-arbeidsliv
