pid,firmPartyUuid,clientPartyUuid,keyRoleOnlyPartyUuid,directDelegatorPartyUuid,directDelegatorPackage
03916696174,aae8c3ea-3460-4808-9664-39edce455b29,0bb12e7f-fd99-493a-b2f7-560bd2024471,c1d5589e-5585-4475-8e36-7464af2a62a2,f40086fc-38b8-488d-ad2e-8d72e291976b,a-ordning
13877196857,abc4b3bc-f752-4d34-8afd-dc8aeb8ad54d,42bb8b90-f46f-4986-8b7f-dd19047a760c,778bd6f7-42bd-4c24-9686-c5b73cb69cbb,24aba431-6c1c-4045-a200-af256441f415,innbygger-arbeidsliv
11863047716,317233c9-31ca-4807-a8d5-d9b686ff6b3b,c96ea39c-17db-4849-ac81-96a34b9f67a5,27eb6854-f3f2-4df5-9d08-4ce2dee216a2,d7d8690c-9263-40c1-8643-dea8570b56ac,a-ordning
05855897476,3ff438e1-d43f-4489-b37c-6a935eeb4370,c35a8462-89f8-4823-afff-ba95e86cfc8c,0391771e-7228-46e9-a600-6b8fbeed5969,c4cb1e17-3cc1-4a70-a464-1307d4b1f6a2,innbygger-arbeidsliv
19855899909,51da01b2-5fc8-47c2-a3c4-3787811a1aac,d740c0e5-91bb-4405-b154-b8e32bfcfc01,79fd12d0-25c1-4a8c-a7e8-9eea025210f7,59afe6ac-440f-4484-9c1d-82f19204acd4,a-ordning
08928399371,430267ea-b54d-4791-b5c6-aaa8a9c7e8f7,93828e45-7991-4ead-8c90-84e23b1928eb,74e3dc3e-78ea-4c4f-91b4-0743065d4064,93828e45-7991-4ead-8c90-84e23b1928eb,a-ordning
09914698143,b69b331d-cde6-4410-bc27-fb8fb455a987,6492bf7c-2665-4617-bb48-b5746b2d84ad,53cffd40-356d-4478-8ee3-8e3c3e0fd645,c10efe67-71d5-4ee4-99b8-f7d09b6c4acd,a-ordning
14855998565,b71fb3a1-b3d6-4717-9948-ba078dd774a8,1579f4db-f91f-4017-bcb6-427fb15e20f7,b55037a5-ea76-45c5-8cf3-3a500f11cd5b,5c015dd0-4807-4f98-949d-d66906927016,a-ordning
25869397779,22c35efc-2704-4737-949c-39c2151369e0,78616d91-6e36-41af-b83a-8dab1d3f8365,6135a60e-6593-4fa1-ab73-31928a7928f9,766615d8-ae77-48fd-8eb1-68488ad50f98,innbygger-arbeidsliv
06856298130,fa8d8bc2-1a31-407a-92cc-d4c238691041,f0a0a9b3-2332-48d9-ad97-9697af1e8423,80b07047-4b39-4ee3-b7aa-39055696f26e,c7db448e-c4df-4da7-a05c-f63c33449c59,a-ordning
