orgNo,partyId,orgUuid,userId,userPartyUuid,ssn,orgType
313490114,51849191,a477a841-3465-4010-bc0b-a906d3a1cee5,1444359,a3266d03-3599-45b2-9c07-e777c423e0f8,03874998779,AS
312939053,51448685,07106f0c-fdae-4138-a060-99395717e5d8,160951,ad5de1c4-de12-45cd-91c9-17eb09f23213,24856398710,revisor
314241118,51448732,265996d7-34e1-40d8-a304-ca11bd9c4124,1430207,53552a7c-2b40-45ed-8b64-703307a217e9,14896895304,regnskapsforer
310678961,51584855,fc67bbd0-a86c-459c-bc1f-bcd0d7765a43,2339775,c7e28cf1-a939-475a-a84a-b0542aec48b7,20866198560,AS
312705672,51451821,a64db0e6-1f2a-4b42-9d9a-d713c13bf240,1773680,47da5cc2-e82d-4f12-9c48-5ee2b4b5da3e,03826995709,revisor
314244680,51452104,034cc7e8-bb67-40f5-a094-1d971547331b,2091782,8fb25a40-1c97-4380-b903-6af1e3995b4e,15895897164,regnskapsforer
314265939,51484569,bf3f6136-b12f-46f7-a092-e13c1fb2b98a,1438173,f23d1bd0-6b0d-442a-98e3-538d1c12476c,13845994514,forretningsforer
213842412,51494171,d4926cb4-ff37-44d2-88a8-e76a176d8bda,2420110,da1e83b5-1bf7-4eda-8298-f51fa96f7bb5,16836697573,AS
310495670,51448720,436f789a-a10b-4640-8331-89201a67d532,163193,ed0cdb8d-6e8b-4fb9-a5a4-29e6b0dbb3c7,13886499404,revisor
314248449,51452389,271a26e8-f5b0-491b-ab91-f6d6ddcb25c5,1602937,21293027-6bd2-4692-8016-6c5c7d7e6e72,17836499077,regnskapsforer
314305582,51456731,06dc6c7d-e632-4b88-aff7-9cc7badf328f,1473264,03aba7af-db7f-4b18-8358-8b6d4b58ffa8,05814899731,forretningsforer
313491013,51633862,63f98979-bbda-43ed-ad56-93174a6dc91d,1931831,6bb0d028-9343-47fe-a4f1-124f19baea14,06886799584,AS
313588270,51448633,6c5f85b9-7fea-4216-ab42-ed45dacebd24,159660,3a625c36-086f-4aee-a118-2476b1142c42,23812849735,revisor
314241452,51452317,35681d19-66b9-4223-b5eb-63ad1e8c0c20,1487438,06e127fc-e78c-445a-a125-9c82e683195d,01849998338,regnskapsforer
310343439,51449646,a15f18ad-c9a1-4844-8750-f7322f7292ac,181836,2b1be0d8-486b-4b5c-949a-3df6c8d3076e,27849297746,forretningsforer
213178512,51487858,a021831f-2916-49d6-ac33-34ae8c7a0028,1426537,12108b14-bea0-44dc-99ce-28d4885d95fb,07848997379,AS
314249739,51497400,fbcf33a8-3952-4a17-824e-bd845834cae9,340785,dc663509-f690-4ab1-a941-98028811cf2b,01846099855,revisor
311186558,51449642,f79a18dd-57db-47df-a45b-4b11ef0abcc0,1081686,1191808e-686d-45df-8525-c34aac191916,24896097691,regnskapsforer
312925613,51481546,b8e0ca7c-afd7-4ad5-9fc7-f91353beb242,1442169,217dd9b2-ee3b-49b2-9066-4884f25bf589,08896599349,forretningsforer
311008358,51613878,690e9ff7-c0f5-464d-a076-7e89429b02a4,1906897,660a7ec1-0909-451e-8251-71c0ffda9e37,22817497180,AS
311136852,51448673,b75abd7d-9ed7-401c-bf89-a0ed5feea804,268700,e363218d-9508-4874-a5ce-31769b4ac234,11925996949,revisor
314239415,51448856,48e28731-bab8-4806-ac36-07a42a7b10dc,1289675,fc577a32-9d78-4f9b-92e1-b7577b49d26a,02915597141,regnskapsforer
314239431,51448785,dd49ea3f-4b41-46c4-97e0-6b132c7eb960,1428073,0c5543c9-8c0f-402b-a1ea-686a83737d1c,11866799328,forretningsforer
310200093,51542337,cea00651-b8ea-46a2-88ab-93c8776f7a64,1756694,43f2bd8f-df07-4bf6-b579-f81d25aec5cf,20894199378,AS
314319427,51480672,c0ca5ed2-5fd9-41e3-98fb-ef24d6f5b32e,1647255,2b21d115-857e-496e-9f5c-7bbd4a46a264,20835999565,revisor
313305902,51449750,0090e81c-d88c-4ce5-adc4-89791d229b70,2174496,a27393e8-8351-4e33-8d9b-ffca67133864,07897497063,regnskapsforer
313175650,51450054,12307f0c-9011-4664-8cb0-acf1e0300de3,162551,119cafa9-0fb3-4340-b452-f9aeabe67f4a,09926196194,forretningsforer
214252872,51450408,b36ef8b4-f666-4ba7-b55c-2dbc598fda7d,2257504,b53efebf-3fd0-4c99-a18b-5777c24f4aa1,14847199963,revisor
