pid,partyUuid,orgUuid,orgNo,lastName
24855497162,a80e701e-6600-403d-a880-ca5abc302aff,32c0feda-882f-4e34-91d1-8d30c4578e7f,311715666,FORMIDDAG
16906598748,8e66aed7-05e7-4ca7-817e-bd6545e7df9c,07999cf1-6d62-4c1f-b82e-0e595832cb24,312801795,FORELDER
24899197263,63ea5102-bea2-491d-8676-3491f988fb8a,9e768498-e0a7-4ddf-b839-3f569682de85,310071420,AVSLUTNINGSFEST
05915599593,91ee467b-cc59-4ef1-93df-1ca1cb63c6af,d176d803-15c2-4de9-93fb-8a8775cc1b52,210657312,NIESE
25867599412,1629e6e3-6f8e-4f09-be08-7ae771aa4136,a28c7c47-e166-4434-b641-7a80d62d58d4,312931486,PREST
29926498957,89736d29-afe3-471c-8ef9-12abd40f2013,67b6b7c8-e411-4072-9379-e3ec99ab8406,210491112,LOGARITME
04839599094,2717089f-25cc-49dd-afe2-293e63e93850,f6a0d245-225b-46c2-917f-0fe17763907b,310071897,TUNNEL
30858498046,f5aa2fb1-128c-43d0-b3f1-159edf44c86d,e9e15af9-6377-4ebc-8716-5839e4b8c153,314180127,FJORD
10916596974,464701ba-6535-4f7f-bedd-0ddf0b6b39ec,8316138c-6648-4f51-875c-43e0164374ba,311172565,BJELKE
03854697438,6d89b116-7570-476b-bc81-8cbaac198884,ddf7e9ac-40da-48e8-9e87-4ffee64faf03,311055984,DUBLETT
22896796341,843926aa-da4b-421b-82f3-eaa5b4357d9d,af497872-cb37-4407-bfbe-da896e769ce2,210744312,GEITHAMS
25868098077,d34ff93d-8642-4e11-82a3-a171dac1af0b,658c79ce-fbe5-469d-9663-49535af435b2,310421049,KAROSSERI
31855894133,aa8adfbd-3c98-40bd-86c8-7449e8e64d58,1cff5869-3912-4646-99f5-b596cc1baae2,312628996,ORIGINAL
03825396992,0d2a89aa-d2f1-4b8a-bf00-0800c46ec817,b7af109a-b62e-4af8-be2c-bdafb02b3af9,312205599,PRAT
29925697905,9712ca3c-b7df-4863-857f-e129116947b5,4e043a96-b015-4eae-b54d-17b3a915e7cd,314047761,INGENIØR
06902848531,314cbb7a-1bf1-42b7-93f8-2393af2fe52e,131ca55d-48a2-4968-a95e-669012b41697,313857883,SKO
08816896577,82010a62-2735-4407-b05f-ecb5a7470bdd,6b51f176-a65a-4440-b703-09740ad213c7,314040406,MUFFINS
22857998948,563266e3-739a-4705-80b5-13f417f1cd74,c3b6e568-17bc-4200-8e95-7e7d38b6a46e,313628272,LYD
09905896102,5c1d28ac-a4a2-47aa-9473-d64ba424218b,f5dfe9f4-0ea2-4f6f-862b-910c4b31b4cf,212925772,HANDEL
19906897167,a45610e6-a7a0-4d32-a348-3114631dde03,63d29c23-b609-4951-b197-4b8e6c33b187,313876470,FYRSTINNE
23823247737,8f0cd4fe-2e6d-4df0-8a3c-fda567ba01f1,f697a6b2-1fe9-484a-9b87-76f5d1010d45,310153621,SANDDYNE
18867099383,55581c8a-430c-4926-aa5c-bffdf6aee87d,9c079586-d4ca-49ef-96ae-a51a69a34baf,313797724,BRUKTBIL
06893548589,94bd26bc-b4fc-4f81-88b3-5458f5576543,033df281-705e-4eea-ad0a-b12c0fec38c1,312399245,ARM
10846097533,0af1c7e4-dbba-4e0d-b3a0-a9c281615b9d,313971be-19b4-4067-aae4-ff99fe16db63,312526379,AUGUST
07816596909,e506fc6b-4545-4f94-b931-dc39d0493d7f,cf5ac82b-173f-41b8-a19d-824f8bac81b8,311715534,GÅS
16858997724,0a431866-2337-4b57-9cd2-0275f55e1336,d56500a2-2203-469c-92d3-5b8b16751350,312716097,ALGORITME
08818698098,3892fa71-b731-4148-81d0-10bee9ed65ff,e0e4db1e-0be2-4be6-ae52-245d7e15692b,313554171,ALUMINIUM
06829297785,66da5888-3da1-47b6-902c-e5317f9dd3df,cac52f04-e9da-4b5b-8bb2-157bfc8e48d1,313036316,SUM
31923649339,5053fb82-302e-4be2-8096-a7968a029c1c,c448faa7-cc7e-4db0-b70b-65f033302888,313612651,PLYNDRING
12859498343,40e351f0-8aaa-40ae-979f-0bbee1f7a3d3,afb8fc32-73cc-4914-acfa-53b90a753277,310679054,RESSURS
11885697781,71b10190-f564-4022-94a4-e7c0746ae285,ccbd81ef-cb1a-41d2-966e-a6690a0952af,313480577,FATTIGDOM
27896297045,733224a0-d06f-454a-9d06-6b12c1a8618a,eb972aab-daf2-4b66-abfa-0e7252598d51,310078719,FOT
04865198103,cfdb8624-e7f8-4f4d-9fa7-690846671e4f,3b7cbf45-ef9e-4a5e-ada7-7b5f0dbbb4b1,313166546,BALLSKO
30819399634,6e98f40b-c427-4c87-b72a-ec34aa472bd6,dfc13f9c-c03e-4c74-838d-05becbb6822a,310653853,BREV
10916998363,007f993e-2e54-4ae5-81e1-17069da836b5,4c95720b-a129-4e83-a4b6-ee884924c964,313898350,BLOMSTERPLANTE
19918398174,ff68923b-1ba9-47b4-85d7-1fd4deae191d,2ab3c3d1-48d8-4dc6-9539-38957ef4e1b2,312755998,KORNSORT
10905099766,068d8124-cc81-4f23-8cbb-952234326cb3,19c35018-c5e4-4aee-b6cd-77e62c601fcd,310727628,FONTENE
17887998337,b1ef16a5-bf0b-4382-8929-3419ceae65fb,3288f521-0835-4916-90c1-ee172cfa10a3,312673002,HAUK
22848099388,10c413b3-db97-4716-8d64-43d8a02a15d9,1f4bc808-29dd-4e24-853a-14fe108703d6,312935228,FANGE
