orgNo,partyId,orgUuid,userId,userPartyUuid,ssn,orgType,role
313490114,51635821,0531b6c7-61a0-4dbb-bdfb-6fddd4abb6f0,20162689,1fa37bc5-45c0-4c7d-b4d9-eae42051ffab,03874998779,AS,dagligleder
310678961,51371324,447d5c4c-2760-4fa4-899c-a5a1d5c21631,20175158,2249b142-05ab-4ca4-8d70-c7daa6332c2c,20866198560,AS,dagligleder
213842412,51280650,e6b66446-3412-4c06-9046-b6fb01f7d7f2,21096699,e557b9e2-253d-469b-99a3-eb9dc10a7d9c,16836697573,AS,dagligleder
313491013,51420302,be9382bb-efe1-4fa3-ba8c-0afcd1aa2e20,21208588,fd2471dc-7164-45c5-86dc-8f36be3c91db,06886799584,AS,dagligleder
213178512,51274340,dac48447-481b-4191-806d-d35807a3924b,21218768,ff4e62ec-1f66-4d89-a27b-f1e33710b059,07848997379,AS,dagligleder
311008358,51400345,3910ffd3-21cf-4227-ad44-3a10b0450600,20536318,6ebc9664-a2d6-4cfb-854e-23287618ce1c,22817497180,AS,dagligleder
310200093,51328806,c7f980a8-ba21-47a7-9319-112d2369a246,20415282,5515c045-44aa-4517-8c05-fa68133e28a2,20894199378,AS,dagligleder
312800012,51587735,2a206245-ea37-49af-b48b-b8249e4f329e,21071842,e004c732-27c8-4ca9-b2c8-29dd84255157,16888774266,AS,dagligleder
311051148,51404132,05e149e8-62ce-4e8f-8d14-f95ba2c3c03a,20610117,7e63a5c0-5175-451c-967d-bd00e25f1582,06876599390,AS,dagligleder
312668181,51426209,136af559-277d-46d0-96e9-55c1f8a535ff,20902912,bc58c110-32d5-4b6a-ac67-29311727eee1,14927796385,AS,dagligleder
310735388,51376276,ed74b604-57d9-4da2-b2d6-8fe4904e2074,20181263,2395b463-5364-479e-adcf-f3c5c23b254a,17847798335,AS,dagligleder
312795078,51587402,a13303a6-1d67-415f-a32f-215290044aee,20552854,72468950-d6bd-464a-ac29-ca7d4d1806e5,31900199999,AS,dagligleder
311185934,51416017,9109411f-43b2-4695-bc53-610896fc26e2,20300979,3cd90769-7d01-4db6-9ce7-e07f84f593f1,29887097796,AS,dagligleder
313185079,51614781,d4202f59-68fc-4d24-8b2a-48106e52e942,20334744,4408d0b8-cc0f-43ec-ae96-1b398eccf86e,16877198794,AS,dagligleder
314194861,51684509,8d6b2f5e-1976-418f-a7eb-6580dd66feaa,20050085,07bc02b3-ceec-4ac2-a582-cbaf31a18732,19867594925,AS,dagligleder
312993163,51601355,1252e2a3-4c05-4bf8-80bc-cf64b44279ee,21176203,f63ca8f9-d009-47cf-8215-f521441d9ef8,06842647728,AS,dagligleder
314036484,51520078,d92896c2-8483-41fb-bdf3-7d717ce74f20,20672680,8b97f958-5497-4d3b-b400-167a0729ac96,14899499760,AS,dagligleder
312435276,51458085,346db671-7dde-4ed4-a7ee-8aba1d7ccdcb,21175779,f624b46b-e3d8-4a1b-958e-3f42a0874b77,14896397592,AS,dagligleder
310999776,51399573,d325557a-18c9-4343-a108-a971a3ab2907,21032230,d79ab5c4-61dc-49f2-99ac-97dfcb19a542,27908898090,AS,dagligleder
311178652,51415381,8ea6ef9e-cc9b-4bc6-a8b5-0e3c36cce665,20530860,6d95466b-f280-4d80-8dce-9e08a210f8c0,05856996540,AS,dagligleder
313345416,51625859,0018e0b5-3a3a-4335-89c1-0f0ede709b47,21047796,dae35899-03e4-4bd7-95bc-d012395339fd,24867296626,ENK,innehaver
313490475,51635852,6a58a1d0-33a2-4213-ad79-220a9c6e0caa,20986849,ce06590d-7653-4f0a-92ea-3a99c2f0635e,18849899569,ENK,innehaver
