ssn,partyUuid
09839196625,ae1cc52a-604a-4d6c-bfa7-38f4e546abeb
20892949779,06b8c5d7-2169-4ded-983a-ea096c74b448
18889599223,cee22e7f-8a44-4c9a-89bf-422aaafbb7f8
02819598757,0a6d1718-9a3d-40cf-a94f-e42e45c782f7
02871949797,de839856-a5b8-4d36-a1b9-27a3f87901e5
13854799279,83d6e2f0-07c0-493f-865f-c9cabf0f7598
11856996818,873dd23b-0e0f-4d46-919e-b0981357c8cc
04812548129,6b7e2381-5adf-4815-aa32-843a25ef1461
13867498820,3588429d-ab9e-4597-8e67-ca2422e20ec2
17837197708,cd5bee14-aefa-49fa-a1bf-ff2558dfaebb
06824498308,498b9dfd-39d2-43bc-a658-8b854b61162d
18818798918,6dc98b19-1f19-4958-a3ee-b6a37d5d39af
22825897198,67f1fee9-d857-433b-83a9-f55ff47992f6
22889198846,bb2c6a24-705e-4d9a-8d95-8f7429131b96
23888897747,ca136908-1063-471e-b3fe-93874aa35479
03819997895,393aad2e-3bfc-42a5-b4a8-881aac279f8f
05877797815,5e1ea4a4-5538-4a3a-8b23-e475e988f858
28858096911,412dc24f-e1ae-4074-9a49-cf3819beb749
30839198546,34e67f9b-9932-43bb-a791-9a1b199a7583
06896195385,72bc6423-b015-46f2-8fca-7da1d0a74dc4
18848395958,ad2ef5fb-4c55-42f8-815a-75cba3aab00c
17840147525,01fc2c8b-1a94-4f5c-b020-32ea3d4a4007
11886296357,ea252544-da1f-4dae-9ebf-3e171d769224
17859296629,a9d8e0fe-bc49-48d1-a0c0-dde4d9e093d2
06824698420,ccbbd0cd-6fb9-4705-a0a3-5510fdee2d82
05927194831,59c0a2f3-c16c-4ffd-bc12-c9ccda65e9cc
28894898331,936fe401-e816-4419-8984-b2d819a23f38
09918297127,f0ddfa67-e32c-4f1e-8b79-0e6781dedef2
30928798077,813dd6ba-0d58-483e-b9e3-3c57b77e7e16
11895798748,b83331d4-d4da-43be-b3e6-02411aa4fc7a
06918099512,09841923-7ca6-4851-a952-93e3e0505819
13855699367,4175183e-b93a-44fe-8324-571eb0a52e20
23889099658,0abd0c0b-0d97-4bb8-9270-ee3390550b1d
16848899139,4a7b95fb-f4ee-4ec4-a9a5-0e8724a36777
03816198738,e9c50cd2-8a27-40d2-80b7-76427f273f56
11894997887,8f4fe51f-5acb-4eaf-a94b-d9da28883f66
05856897747,37e7d6dc-4f61-475a-9b90-2a604302340e
30815695905,fa2c672b-427d-4017-9507-c0ecc1602cfe
20896999533,469dde1c-ebef-4184-93ad-f11a4789e24b
19852349088,2c5e8bdb-f084-4173-86d9-ea0061112f3e
08820848323,25586ff7-3ebf-4f29-a8f8-257247c4a16c
13827898400,306fdde5-4eff-4217-aade-b6d16a2ef6fd
16908997046,1fbe48d2-9b41-4448-a579-e7f4e2c38344
01846897891,18a17a7c-a5bf-43e8-992a-5e9235d34413
04858999958,302b4fe9-b3ad-4478-9541-1cdf3b430b71
29835799636,befa8a10-1faf-4a29-9dbc-f269fa50a980
16900649065,cf836c55-2028-4caf-b22e-f28551ae4373
07834199178,faf6aa1b-a286-4095-9bba-4d9267c3adfd
02885198034,1cfbfc65-48c5-4070-b68c-3249bbe40d27
01841048845,bf3c9209-dfc2-4ac3-abf4-be3d61d59c53
03895697183,22c30582-31bd-4c61-8034-4c16536df30f
06883847596,7c64b9fe-8fe9-4eed-9dff-8e98e5cd5a1b
