orgNo,partyId,ssn,userId,userPartyId,orgUuid,partyUuid,lastName
311124706,51624173,26886997123,1248515,50549136,84e50c7d-570e-4573-ae59-c76d22bbd3a4,bb9cd70e-3c53-41e7-9505-193942be55f0,hakke
311124773,51624180,04859398591,1525976,50787702,3282dc39-272f-457f-8579-d0fbef849730,0fb3016d-e98f-4edf-a258-77f25cf31315,rulletrapp
311124943,51624194,15890198071,2404480,51114695,c1ab20de-9644-437f-a9fc-198b01688100,d68f762b-e47b-4dcb-9e87-3e47bffde85f,kikkert
311124994,51624199,04846896177,1440896,50810685,dcecb0b5-09fa-47b3-afef-f0d34779d116,42d70dac-5b00-4e94-a9ac-0d982cacfa48,agent
311125001,51624198,16887199225,1433439,51408892,00bd33b4-5bf9-4309-8742-d98632800e08,a54dbe75-607d-4c98-8e3f-e81165f0cf16,blokkfløyte
311125087,51624205,12828396747,2328054,50836095,d99b580f-b175-4104-b66a-bb4f52dfe06d,c542dbff-970c-4163-97c5-f50d5d5c4417,litteratur
311715666,51699470,24855497162,2199570,50652729,32c0feda-882f-4e34-91d1-8d30c4578e7f,a80e701e-6600-403d-a880-ca5abc302aff,formiddag
312801795,51801387,16906598748,1265864,51213357,07999cf1-6d62-4c1f-b82e-0e595832cb24,8e66aed7-05e7-4ca7-817e-bd6545e7df9c,forelder
310071420,51530771,24899197263,1897364,50677190,9e768498-e0a7-4ddf-b839-3f569682de85,63ea5102-bea2-491d-8676-3491f988fb8a,avslutningsfest
210657312,51456406,05915599593,562550,51398133,d176d803-15c2-4de9-93fb-8a8775cc1b52,91ee467b-cc59-4ef1-93df-1ca1cb63c6af,niese
312931486,51810406,25867599412,1554531,51111349,a28c7c47-e166-4434-b641-7a80d62d58d4,1629e6e3-6f8e-4f09-be08-7ae771aa4136,prest
210491112,51454575,29926498957,2064038,50682416,67b6b7c8-e411-4072-9379-e3ec99ab8406,89736d29-afe3-471c-8ef9-12abd40f2013,logaritme
310071897,51530815,04839599094,1629323,50795142,f6a0d245-225b-46c2-917f-0fe17763907b,2717089f-25cc-49dd-afe2-293e63e93850,tunnel
314180127,51896881,30858498046,161273,50894632,e9e15af9-6377-4ebc-8716-5839e4b8c153,f5aa2fb1-128c-43d0-b3f1-159edf44c86d,fjord
311172565,51628380,10916596974,1766891,51030990,8316138c-6648-4f51-875c-43e0164374ba,464701ba-6535-4f7f-bedd-0ddf0b6b39ec,bjelke
311055984,51618101,03854697438,1940003,51135803,ddf7e9ac-40da-48e8-9e87-4ffee64faf03,6d89b116-7570-476b-bc81-8cbaac198884,dublett
210744312,51457341,22896796341,2040989,51152274,af497872-cb37-4407-bfbe-da896e769ce2,843926aa-da4b-421b-82f3-eaa5b4357d9d,geithams
310421049,51562016,25868098077,2390169,50874522,658c79ce-fbe5-469d-9663-49535af435b2,d34ff93d-8642-4e11-82a3-a171dac1af0b,karosseri
312628996,51789342,31855894133,2210611,50792288,1cff5869-3912-4646-99f5-b596cc1baae2,aa8adfbd-3c98-40bd-86c8-7449e8e64d58,original
312205599,51658856,03825396992,1514837,50836916,b7af109a-b62e-4af8-be2c-bdafb02b3af9,0d2a89aa-d2f1-4b8a-bf00-0800c46ec817,prat
314047761,51887739,29925697905,2124310,50967858,4e043a96-b015-4eae-b54d-17b3a915e7cd,9712ca3c-b7df-4863-857f-e129116947b5,ingeniør
313857883,51874606,06902848531,1674493,50836821,131ca55d-48a2-4968-a95e-669012b41697,314cbb7a-1bf1-42b7-93f8-2393af2fe52e,sko
314040406,51887228,08816896577,2031172,50929643,6b51f176-a65a-4440-b703-09740ad213c7,82010a62-2735-4407-b05f-ecb5a7470bdd,muffins
313628272,51858799,22857998948,1836511,51224016,c3b6e568-17bc-4200-8e95-7e7d38b6a46e,563266e3-739a-4705-80b5-13f417f1cd74,lyd
212925772,51485457,09905896102,1862986,50856567,f5dfe9f4-0ea2-4f6f-862b-910c4b31b4cf,5c1d28ac-a4a2-47aa-9473-d64ba424218b,handel
313876470,51875883,19906897167,2183084,50635728,63d29c23-b609-4951-b197-4b8e6c33b187,a45610e6-a7a0-4d32-a348-3114631dde03,fyrstinne
310153621,51538144,23823247737,2089010,50846700,f697a6b2-1fe9-484a-9b87-76f5d1010d45,8f0cd4fe-2e6d-4df0-8a3c-fda567ba01f1,sanddyne
313797724,51870437,18867099383,1832813,51420022,9c079586-d4ca-49ef-96ae-a51a69a34baf,55581c8a-430c-4926-aa5c-bffdf6aee87d,bruktbil
312399245,51773295,06893548589,2113915,50851635,033df281-705e-4eea-ad0a-b12c0fec38c1,94bd26bc-b4fc-4f81-88b3-5458f5576543,arm
210988432,51459892,23836097793,1277961,50648829,a54ada36-dd8e-42fc-9699-51c1212577a6,031ffc9d-0559-4847-9885-fd421043a7e9,fattigmann
312526379,51674659,10846097533,152941,50350600,313971be-19b4-4067-aae4-ff99fe16db63,0af1c7e4-dbba-4e0d-b3a0-a9c281615b9d,august
311715534,51699461,07816596909,1406588,50860780,cf5ac82b-173f-41b8-a19d-824f8bac81b8,e506fc6b-4545-4f94-b931-dc39d0493d7f,gås
312716097,51795369,16858997724,1502093,51047209,d56500a2-2203-469c-92d3-5b8b16751350,0a431866-2337-4b57-9cd2-0275f55e1336,algoritme
313554171,51853648,08818698098,1706391,50780722,e0e4db1e-0be2-4be6-ae52-245d7e15692b,3892fa71-b731-4148-81d0-10bee9ed65ff,aluminium
313036316,51746741,06829297785,1910492,51153071,cac52f04-e9da-4b5b-8bb2-157bfc8e48d1,66da5888-3da1-47b6-902c-e5317f9dd3df,sum
313612651,51857727,31923649339,1810696,50573521,c448faa7-cc7e-4db0-b70b-65f033302888,5053fb82-302e-4be2-8096-a7968a029c1c,plyndring
310679054,51584862,12859498343,1742985,50987407,afb8fc32-73cc-4914-acfa-53b90a753277,40e351f0-8aaa-40ae-979f-0bbee1f7a3d3,ressurs
313480577,51677457,11885697781,1958395,50648237,ccbd81ef-cb1a-41d2-966e-a6690a0952af,71b10190-f564-4022-94a4-e7c0746ae285,fattigdom
310078719,51531417,27896297045,1248823,50742246,eb972aab-daf2-4b66-abfa-0e7252598d51,733224a0-d06f-454a-9d06-6b12c1a8618a,fot
313166546,51692431,04865198103,2374857,51128873,3b7cbf45-ef9e-4a5e-ada7-7b5f0dbbb4b1,cfdb8624-e7f8-4f4d-9fa7-690846671e4f,ballsko
310653853,51582633,30819399634,1944546,50757531,dfc13f9c-c03e-4c74-838d-05becbb6822a,6e98f40b-c427-4c87-b72a-ec34aa472bd6,brev
313898350,51877421,10916998363,1459450,50849305,4c95720b-a129-4e83-a4b6-ee884924c964,007f993e-2e54-4ae5-81e1-17069da836b5,blomsterplante
