pid,firmPartyUuid,clientPartyUuid
03916696174,aae8c3ea-3460-4808-9664-39edce455b29,0bb12e7f-fd99-493a-b2f7-560bd2024471
13877196857,abc4b3bc-f752-4d34-8afd-dc8aeb8ad54d,42bb8b90-f46f-4986-8b7f-dd19047a760c
11863047716,317233c9-31ca-4807-a8d5-d9b686ff6b3b,c96ea39c-17db-4849-ac81-96a34b9f67a5
05855897476,3ff438e1-d43f-4489-b37c-6a935eeb4370,c35a8462-89f8-4823-afff-ba95e86cfc8c
19855899909,51da01b2-5fc8-47c2-a3c4-3787811a1aac,d740c0e5-91bb-4405-b154-b8e32bfcfc01
08928399371,430267ea-b54d-4791-b5c6-aaa8a9c7e8f7,74e3dc3e-78ea-4c4f-91b4-0743065d4064
09914698143,b69b331d-cde6-4410-bc27-fb8fb455a987,cacd0ca5-0e7b-4d8f-9780-f8d90aca0ec6
14855998565,b71fb3a1-b3d6-4717-9948-ba078dd774a8,1579f4db-f91f-4017-bcb6-427fb15e20f7
25869397779,22c35efc-2704-4737-949c-39c2151369e0,78616d91-6e36-41af-b83a-8dab1d3f8365
06856298130,fa8d8bc2-1a31-407a-92cc-d4c238691041,f0a0a9b3-2332-48d9-ad97-9697af1e8423
