pid,firmPartyUuid,clientPartyUuid
13886499404,806e41fb-c429-490f-880d-bb0b92bb7bd9,d2d6409a-498a-41d4-a40c-f3698aff52de
13877196857,dfb86ee2-6a96-44f5-b73e-29f8e037dcea,a866dfbe-a71a-4de9-8c88-860aa3040209
14896895304,619b6537-08ab-40b1-a844-4041fef740ea,9553219b-cecd-4736-9149-423ba583804c
17836499077,d12ed266-9bca-473c-9a79-33694ab55f24,91e16da9-b913-4eb4-a1d5-ddb7441eb369
01849998338,132651da-9e6d-4242-8d75-a5229f29755d,b45a742b-d89e-4062-a5fc-19091a9c10c2
24896097691,309cc9ad-71d3-450d-ada8-e1f1be6fcadf,aa1d06c4-0a4b-49ca-8010-225387cf607b
02915597141,240832f6-8564-4b8e-ae5a-eef19566698a,84d585e8-d9b9-40f4-aafa-7f365c277ca5
07846595419,770ac064-6dfd-4981-8f93-53d79037af62,fb2add69-46af-4d96-9dbd-e11a01d289a6
12897096100,9966921c-cbfc-42f9-a7b6-6cb78fed1219,0a8c9602-771f-40a8-8723-d8c0524420b8
20827096769,648b320e-1124-4b57-986d-a30c5bae7976,a65218ef-6bd1-4e11-84c4-d1b34d59d03b
