pid,firmPartyUuid,clientPartyUuid
13886499404,436f789a-a10b-4640-8331-89201a67d532,f1aba403-ec3e-41a5-a7a9-c78bf452e1d3
06926697712,114ffd69-9048-4740-800a-522efb105262,f26c8a75-63d1-481e-bea6-a58ce5cb2328
14896895304,265996d7-34e1-40d8-a304-ca11bd9c4124,6bb54f2b-4554-4d8e-945d-03960ab5f317
15895897164,034cc7e8-bb67-40f5-a094-1d971547331b,d2d46668-6105-42f6-8c07-1c2df3daf702
17836499077,271a26e8-f5b0-491b-ab91-f6d6ddcb25c5,8bad5390-245b-4ad3-9a71-f265f9dbe3ce
01849998338,35681d19-66b9-4223-b5eb-63ad1e8c0c20,67d951ee-e09a-46dc-97f6-39638779837e
24896097691,f79a18dd-57db-47df-a45b-4b11ef0abcc0,364f91ce-a414-40a3-863f-7d0b8f56cab7
02915597141,48e28731-bab8-4806-ac36-07a42a7b10dc,d875423e-d7ef-4dba-8d6d-54bcb7e8fb00
07897497063,0090e81c-d88c-4ce5-adc4-89791d229b70,e88cef58-6b56-4bb8-b81a-149fd7e2f511
12897096100,48babff7-ad63-446d-ba19-7ebc10e29ae0,89b193b6-c477-49a8-baf3-4e8c96f489bc
