ssn,partyUuid,userId,orgUuid,orgNo,lastName,partyId
12916997971,5f453a8c-86e2-4bef-bbd9-6235edf414f0,20447452,f1399084-2814-4f54-ab0e-75a931628762,310915092,TALLERKEN,50508927
17878097785,1c17ceb5-3e28-4c85-ba20-29e84d831785,20146472,d42ca3b3-5de9-49a7-aa03-3e1ad9f56dec,313155366,FASTMERKE,50474995
14865899751,62522c97-745d-4796-bd06-1df7a8011ed3,20461231,7a6aff91-c15f-4003-ad16-70c6962de810,212616532,PAKT,50673165
24925199512,4f08f455-5005-4c12-9ed2-f1d66f016af7,20374439,0d8e92cb-febc-46df-bf38-0540a084bfb1,310895075,FAKKEL,50710442
04879297333,b628f087-7fa9-4b59-bd88-8499d6b0af5e,20835834,f05fba4f-bde7-4108-bce1-91aeb95a1187,313704831,BOKFINK,50373076
09915897581,c9115302-bf9d-4d24-b352-ac86d6abb532,20922387,3907893a-1097-47c7-86c6-c1f4bfb8885f,314168003,SKATOLL,50076068
09917197935,a7948360-ad90-49fb-b27f-fade7206cf96,20803605,21a52a7a-d031-4c78-a289-91f5beb5fa54,314026926,JAKTTERRENG,50361764
01837798007,145fbfe2-ca89-4ee1-8cc2-70003e1db1e1,20111695,c9376688-19d8-44d0-8a5c-da741ad62c64,313477029,SATELLITT,50101045
06813648146,cfd70d5d-2c7d-467f-8056-9d82ba63f646,20952927,c2d3c39a-be2d-403f-a490-33382eb1be2b,213082302,BYREGION,50255867
11866497364,8be99c9e-ba1d-401c-a050-6730cce5b9fd,20673601,8befa524-3607-48f5-afaf-1138ea7ae387,313775070,NAUT,50353777
