orgNo,partyId,ssn,userId,userPartyUuid,userPartyId,orgUuid,orgType
313490114,51849191,03874998779,1444359,a3266d03-3599-45b2-9c07-e777c423e0f8,51411321,a477a841-3465-4010-bc0b-a906d3a1cee5,AS
310678961,51584855,20866198560,2339775,c7e28cf1-a939-475a-a84a-b0542aec48b7,51233336,fc67bbd0-a86c-459c-bc1f-bcd0d7765a43,AS
213842412,51494171,16836697573,2420110,da1e83b5-1bf7-4eda-8298-f51fa96f7bb5,50660174,d4926cb4-ff37-44d2-88a8-e76a176d8bda,AS
313491013,51633862,06886799584,1931831,6bb0d028-9343-47fe-a4f1-124f19baea14,51192691,63f98979-bbda-43ed-ad56-93174a6dc91d,AS
213178512,51487858,07848997379,1426537,12108b14-bea0-44dc-99ce-28d4885d95fb,50878541,a021831f-2916-49d6-ac33-34ae8c7a0028,AS
311008358,51613878,22817497180,1906897,660a7ec1-0909-451e-8251-71c0ffda9e37,50882435,690e9ff7-c0f5-464d-a076-7e89429b02a4,AS
310200093,51542337,20894199378,1756694,43f2bd8f-df07-4bf6-b579-f81d25aec5cf,51028187,cea00651-b8ea-46a2-88ab-93c8776f7a64,AS
311051148,51617667,06876599390,1872848,5e5397f7-20f0-43f3-a203-68244b32c9ca,51211368,2d79f093-b61a-402f-a7ce-f607fcb6f6df,AS
312668181,51639730,14927796385,341205,2bf645da-b3f5-44bf-8aee-5eaac7d913ed,50759790,2fb265a5-e86b-4f03-b6f5-5e5aac0c7ef3,AS
310735388,51589802,17847798335,1287185,6b03dec1-8ea1-4691-8a9e-a5a07f1325ea,50977594,8e6bfbd3-ddab-4166-871b-ef80eccce5d1,AS
312795078,51800938,31900199999,1249768,ebf6b8c5-0e44-46c5-875f-76d777c0000d,51078852,c3061c1f-3435-4cd7-9d94-d7e2952c1f30,AS
311185934,51629552,29887097796,1418869,d078bcf8-b98e-4c9b-b351-7abb0c40c35b,50829873,d07434dd-e569-4f6c-9e1b-466428620392,AS
313185079,51828149,16877198794,2098752,91436cfd-9903-4362-b683-629e18e81fde,50849212,5535a0f5-fbeb-47bd-b276-b5aa5226b505,AS
314194861,51897883,19867594925,1740625,405d8160-9be9-4a58-a4ed-5db73e8b6538,50971084,e3519639-d864-458e-946d-954099b6cf60,AS
312993163,51814723,06842647728,1722473,3c3d665c-eab2-42af-a7b0-6c298a344880,50663097,b9abfae9-37aa-43ae-afe1-d2b31a027e9b,AS
314036484,51733594,14899499760,1448596,c31fae05-2c66-4c8e-9379-279875a84c9e,50683548,4c665a06-c1e2-464f-b964-0ef49a9704ef,AS
312435276,51671621,14896397592,2419980,da17ab41-c7ff-48c8-b030-404a4a3cb9c5,51083113,0e2a1e61-9989-4eb7-a05b-38723d0ecc06,AS
310999776,51613106,27908898090,2165492,a06aecde-52a3-445d-9e5d-35c456181ef0,51006594,ea443912-9380-4516-8e04-809a5e542c7b,AS
311178652,51628913,05856996540,2343311,c8b54cf6-5ce8-4bcc-babb-b20fa48a70dd,50810089,58df3e55-72c1-425e-ba31-8987a472a601,AS
210463372,51454258,49896701729,1516242,0d7bdea1-f7a5-4020-8674-b3b64e898684,51295255,c9714f71-abba-4639-9cf7-4976ea3c419d,AS
311710826,51699097,03817098079,2385676,d24f0eb8-5ed1-441e-85cf-c149260e9eb0,51180740,3c6497e0-1186-40ef-a136-ca75510a42e2,AS
313036251,51817736,02858496767,1287101,5aac4aa0-ca24-4944-834b-1b52457d098c,50679737,254dec8c-14c0-458f-ae72-a2354c5e84dc,AS
310711071,51587693,09826496875,2187640,a5587810-1ec8-4fc8-bc38-2664cf76c6ba,50642098,acbe21b9-4101-48b0-a692-63118af5b5c9,AS
314215362,51668341,15929899358,2585091,ff67a34d-dff9-43a0-845f-5f59b20bef26,50959685,214af077-d779-4dbb-a80e-18ec479267b4,AS
312783916,51638520,08898699588,1565597,18b1cd38-1a11-4991-98f0-532de909a2f6,50924285,607ac2ad-b9c8-46c8-b33b-6113776dae09,AS
313804577,51688047,28926699824,2568051,fb911976-8438-49b4-b9de-9f9ee1f1587f,50807931,d6390d0e-944d-4256-b6e8-5cb81e64d3c9,AS
313475670,51644227,12876397372,1453891,1d812cb3-ec6f-4ac5-a3e6-40053b8ffa0d,51082463,3c90c2ea-a1f2-4c21-a6aa-06e5d707f76e,AS
313995186,51884122,10827699689,2583643,ff12a254-3d28-46bc-b8f5-35f4fd5d85c7,51007487,cf3ed23b-82b5-4c85-9fba-f49b7d25192c,AS
312622467,51788883,14837295468,2001391,7b4ebef0-624c-4719-b847-2b7cb13c9bb4,51091556,7db2da6c-33d4-4a7f-bb52-14b74e7fc69c,AS
311138235,51625362,06905798942,2558806,f97c5d1a-1717-4d03-b2d4-1379879010e4,51413271,c0c3d311-b7b7-42ef-ad4f-5a50c81b4269,AS
310433640,51563138,11885195948,2170231,a17be40f-7a13-40f4-aefb-dc8d6dc13a63,50690290,e649618b-e71e-4e5e-95a2-63c7a1258a12,AS
313600335,51856846,04925799314,1878861,5fb29baa-a474-47b6-b355-11d46b7e2cf4,51194706,6ca45e7e-d537-4cf7-9eea-490eeabc29a3,AS
310477664,51567037,04833049955,2244061,b22980a7-0ab8-4167-bc91-ec82165d7c35,51405024,76a30d16-652d-464b-bd37-ce03f2fc23cb,AS
312777061,51799679,29849199461,1530520,10bf52c1-500c-4507-a128-acef88577034,50965686,48a9c312-d606-4111-b13c-cb277072a291,AS
313475751,51848219,26899497294,2309337,c0fa4c77-42d9-41d4-809f-084f5e3b8ffb,50981262,5095e2bd-90cd-4958-94d8-2a2af0f14a4c,AS
313603156,51708197,22857998352,1427290,78538471-c7cb-4bd8-b0e5-6f9ffa76c178,50699640,a57d96c3-2f91-4ebb-8fa5-428836d5faed,AS
311125524,51624244,19875996943,1977830,7604ac54-2c99-404b-8d6e-caf79ef65400,51012230,e36a2f39-8d83-46fc-9bde-3b895c4b9943,AS
312245701,51466789,18825298939,1453194,5ce5b1a1-11c2-4f5d-b489-9c8903e8ee8b,51434546,c6eeb108-ed38-46ed-97f7-685760f98fd7,AS
213981102,51452520,20875599128,2288368,bc389abe-8b1b-4efd-99d5-61ae047fd522,51194810,e82a0733-db6e-4e31-889c-268e7a0cff3d,AS
313145751,51692257,09824098503,2270670,b83bc6ff-8903-48da-9745-158f7e8a2076,50956052,f078691e-bdc2-4920-89e7-232746c5a626,AS
312604620,51787639,26908799339,1602234,21014090-bd79-4d48-94b2-5ef0eb82d212,50656542,cb89eaf0-7a6f-4c86-bfbf-4a1a0e53d6c6,AS
312481944,51779027,27826797342,1248670,a70f5df7-974f-4754-942a-e71273e7c0da,50904767,47801554-555a-45a5-b85d-1eac64c8d5f4,AS
210780602,51457733,17886898207,2164177,a01bdd8c-c44a-43f3-8a79-e72df0e6d11e,51219279,7cf54377-c698-4ef5-838d-1228b95e8f64,AS
313464806,51642795,05898296379,1442259,8240a836-7fcd-4d06-a876-60bd8c6b8e3d,50843672,c967fa61-0213-4ff9-a142-b1ba5b016d97,AS
314259122,51487491,20908698771,2293803,bd735c17-c46a-41a9-83e0-d954d949be78,51168674,d7eec888-479b-416c-b3e0-3004e778883f,AS
313236900,51686363,29819497433,2571804,fc69d478-6d3b-449b-855b-597682bc8731,50911806,3320cc5b-2a3b-4764-ac6a-3426cddbec67,AS
210802312,51457962,04857498556,2573005,fcae7e09-a04f-4e51-93dd-e0b0246c9d59,50792076,92bb87a1-bb73-4d2b-bfb1-e1dede5892db,AS
312993872,51814778,09813448979,2057911,880e37db-1b3c-4df3-8428-ff13504fa34b,50806810,16c06ba0-1a0e-441f-87dd-9ead8cd117c3,AS
312689480,51793529,10837299786,1540584,1303a995-62e3-4974-a3b2-08066f81d082,51199701,ef31c101-985b-44e3-ae58-5688f80b78d5,AS
312982056,51813946,18854099732,175865,ea6bb2d1-7394-41bf-93c9-ca78f9bd7b5a,51424588,35a0cb27-6bd5-4302-b5c0-187bdb54a9f1,AS
311721240,51466092,16896899566,1783037,4a02f8ae-1398-436c-9dff-a2f4681c492c,51402622,da5040d1-4876-4737-9911-970d88895718,AS
310418498,51561792,28915196340,1249129,35991700-1063-4c1e-a9ac-b3b02785afe7,51056681,176a4771-4c62-4d62-8864-d8c3cf1d5afe,AS
313679551,51518048,26906498374,1271820,891fe15e-81d1-4246-ac37-43806ecad338,50820849,20a7062b-1120-4a9b-8d40-8a3633d25e4c,AS
313863212,51874983,19815099144,1429033,fdd10a2d-0441-4e34-87d1-cae46ecd6b4e,51427377,f2e9e751-622e-4daf-9887-646092475b9b,AS
312444585,51776459,10826097715,1702512,37ad7da7-4148-4874-85e2-d81c8f367613,50640638,1378f240-9eab-47bd-a677-054d96793c06,AS
