pid,orgno,firmPartyUuid,firmSubunitPartyUuid,clientOrgno,clientPartyUuid,clientSubunitPartyUuid,innehaverPartyUuid
03916696174,212736112,aae8c3ea-3460-4808-9664-39edce455b29,4702eb67-49b9-44c0-8a90-978ddd6f6521,310210757,0bb12e7f-fd99-493a-b2f7-560bd2024471,414160b1-384b-489a-9677-2da33328ce33,b4bf9e0f-5497-49df-b050-08acb0bd87a5
13877196857,212779342,abc4b3bc-f752-4d34-8afd-dc8aeb8ad54d,5d5882b2-1746-4cd0-ba9c-125264592f77,212270792,42bb8b90-f46f-4986-8b7f-dd19047a760c,3d3ce612-279e-410b-8bd4-d32194792dc4,3a148431-e5b0-4eeb-b31a-1ebfbea372bb
11863047716,214240432,317233c9-31ca-4807-a8d5-d9b686ff6b3b,af67c5e3-6fca-477f-9c70-80de9dd051aa,210666842,c96ea39c-17db-4849-ac81-96a34b9f67a5,4668ba1d-d596-4f5e-8a42-efdf85948c9b,a172c3ff-7d90-4331-9711-78b00bdcaaba
05855897476,214243172,3ff438e1-d43f-4489-b37c-6a935eeb4370,89a61d96-f938-4a76-b219-d5057eb58c38,310996777,c35a8462-89f8-4823-afff-ba95e86cfc8c,544dd1b3-0ffe-426d-9bdf-88991aa27970,9569873a-fb72-4c09-89d2-49d28add4c6a
19855899909,214250772,51da01b2-5fc8-47c2-a3c4-3787811a1aac,f8ef3195-62d7-4844-aebe-9a8fc3295987,214160552,d740c0e5-91bb-4405-b154-b8e32bfcfc01,fc2bc091-421f-4819-af1e-0f4afa1f7a89,2797909b-93ff-4cee-af16-6d4e75936b31
08928399371,210121862,430267ea-b54d-4791-b5c6-aaa8a9c7e8f7,d32cdc39-d485-44c4-898b-6181338446a6,310985627,93828e45-7991-4ead-8c90-84e23b1928eb,961e0611-64f4-462e-9122-3de62844a290,4ab5b5d7-e367-4546-a945-948e5348c634
09914698143,210223002,b69b331d-cde6-4410-bc27-fb8fb455a987,300ea08c-82b9-4cf2-8cad-dbd3765f97e0,313599280,6492bf7c-2665-4617-bb48-b5746b2d84ad,4aee2271-2269-4cfb-bdb0-66c9a4e840fe,3b4d43ce-4cf0-405d-9574-f14b2844e350
14855998565,210236422,b71fb3a1-b3d6-4717-9948-ba078dd774a8,81174ed6-57e0-4fe8-b5f3-80add4fc1636,210354662,1579f4db-f91f-4017-bcb6-427fb15e20f7,d7fadef9-97cd-4879-a068-8b1b066a93b8,5aa58183-8249-4323-93b4-e364367473db
25869397779,210310932,22c35efc-2704-4737-949c-39c2151369e0,c12c94d2-8ecf-4e86-ab83-c741a4434a61,212620572,78616d91-6e36-41af-b83a-8dab1d3f8365,99fff3ce-1157-4107-8798-310be8253bbe,fd039cd3-769d-4320-a264-7d1ebb33c089
06856298130,210333312,fa8d8bc2-1a31-407a-92cc-d4c238691041,f913ce27-d397-49bd-8028-5600c2ced804,212258482,f0a0a9b3-2332-48d9-ad97-9697af1e8423,de39c8c2-f8db-4c42-9efc-f625d158050f,350704cc-7a45-4b57-8e3f-6717251e98f7
