pid,orgno,firmPartyUuid,firmSubunitPartyUuid,clientOrgno,clientPartyUuid,clientSubunitPartyUuid,innehaverPartyUuid
13886499404,310495670,806e41fb-c429-490f-880d-bb0b92bb7bd9,913dfc5c-ada6-41b4-b799-cd819d22b6f2,313543552,736b6db4-d3fd-47e3-a922-34a687a38b7e,a7f54cf5-bbff-4a80-a825-b2f7e3a2dd9f,f23d574f-7ea5-4641-9f87-ab28b8a5cd5d
13877196857,212779342,dfb86ee2-6a96-44f5-b73e-29f8e037dcea,d3278c0b-5d5b-4d09-8f86-9272acc3acb0,310596485,a866dfbe-a71a-4de9-8c88-860aa3040209,802d18dd-dbdf-4f41-9f07-a96ad745f5f8,c62b2014-b945-40ec-9572-b995bb3766f1
14896895304,314241118,619b6537-08ab-40b1-a844-4041fef740ea,136456e2-5f89-433d-8b7c-dd7e939ddb4b,313532925,f4bbde40-1a9c-4e7b-8414-7af35f5c11df,c5947c7e-7fc1-4fd5-814c-e57fa79ff992,b6e6db1c-f148-4bf9-879e-21a10b730db4
17836499077,314248449,d12ed266-9bca-473c-9a79-33694ab55f24,a7a7c834-2ba1-44ac-8b0b-d0230bf3725f,310672262,91e16da9-b913-4eb4-a1d5-ddb7441eb369,3ceb078b-2caa-4f3e-bdd7-efe399b7bb92,05f04a08-ce81-4a6e-b4f2-1887e375461b
01849998338,314241452,132651da-9e6d-4242-8d75-a5229f29755d,18950ff9-72f4-4147-8052-61609c9cc458,313541290,b45a742b-d89e-4062-a5fc-19091a9c10c2,20b46c8c-b325-4e31-b92f-16386848ae46,5fd0e0ea-cc2f-4a02-b18a-789e0b8435b7
24896097691,311186558,309cc9ad-71d3-450d-ada8-e1f1be6fcadf,20edca49-876f-4335-8bc7-b98b7ded130b,313528669,aa1d06c4-0a4b-49ca-8010-225387cf607b,44f49737-b0bc-499f-8a40-0601e6a51b53,9f77c0c2-e083-4866-a443-8fe15d20c2ef
02915597141,314239415,240832f6-8564-4b8e-ae5a-eef19566698a,051f38d7-eba6-43ac-ac59-62cb4b263db3,313547329,41c1c023-12ba-4937-a3bb-b2a91e8325c5,a1a38a4d-3e43-433f-af8f-c4fc151ea987,4c1d3d69-6ddf-4af1-8ef5-56c3ce453dcf
07846595419,313305902,770ac064-6dfd-4981-8f93-53d79037af62,00332020-836b-426e-aede-a8c2ce45da5a,313536017,fb2add69-46af-4d96-9dbd-e11a01d289a6,1d55cb68-80ad-483f-92e6-4131b361d0a6,3460c53f-8c72-45b4-bc00-1071fc5e4b78
12897096100,313514803,9966921c-cbfc-42f9-a7b6-6cb78fed1219,019fb6c0-fde8-463c-9d5f-01856a220f75,313528162,33393543-95bd-4acd-9d88-84f2ebb39a19,0ba48e9a-9347-4a81-8d01-7af49c969070,6266d679-ccd8-477d-a495-1b350f7efa6b
20827096769,314248465,648b320e-1124-4b57-986d-a30c5bae7976,a654069d-e65e-44ca-8a3b-564e48aee206,313526577,c151cf10-d5b9-4f99-a02e-b7ef29d1c045,62a3ae88-b77d-4fce-9585-5eef4d5ecd26,fc4ffcbf-4de2-48fa-9af2-b3e1555b1f72
