orgno,orgPartyUuid,pid,userId,partyId,partyUuid
312939053,07106f0c-fdae-4138-a060-99395717e5d8,24856398710,160951,51444077,ad5de1c4-de12-45cd-91c9-17eb09f23213
312705672,a64db0e6-1f2a-4b42-9d9a-d713c13bf240,03826995709,1773680,50663443,47da5cc2-e82d-4f12-9c48-5ee2b4b5da3e
310495670,436f789a-a10b-4640-8331-89201a67d532,13886499404,163193,51215792,ed0cdb8d-6e8b-4fb9-a5a4-29e6b0dbb3c7
313588270,6c5f85b9-7fea-4216-ab42-ed45dacebd24,23812849735,159660,51416087,3a625c36-086f-4aee-a118-2476b1142c42
314249739,fbcf33a8-3952-4a17-824e-bd845834cae9,01846099855,340785,51178238,dc663509-f690-4ab1-a941-98028811cf2b
311136852,b75abd7d-9ed7-401c-bf89-a0ed5feea804,11925996949,268700,50766909,e363218d-9508-4874-a5ce-31769b4ac234
214252872,b36ef8b4-f666-4ba7-b55c-2dbc598fda7d,14847199963,2257504,51209932,b53efebf-3fd0-4c99-a18b-5777c24f4aa1
212779342,114ffd69-9048-4740-800a-522efb105262,06926697712,1497816,50685644,094465d7-1676-4870-a36f-57bc0f7c8592
314239822,06b29d9b-2423-48ae-a676-0fec58de1eda,11866598926,186176,51395998,d573c4a4-794a-4dab-b5cb-e270ce4a707e
314241118,265996d7-34e1-40d8-a304-ca11bd9c4124,14896895304,1430207,50569346,53552a7c-2b40-45ed-8b64-703307a217e9
